,standard_inflation,standard_electricity,standard_chicken,standard_gasoline,standard_confidence
57,-0.1217973987398343,-0.6104322524598257,-0.8584167049365581,-0.0326241160518404,0.8945270706081249
25,-0.788533159082893,-0.7605288566464635,-0.6682836794471475,-1.6816839125030758,0.5119917920005254
44,-0.255144550808446,-0.1601424398999142,-0.6570993838301233,-0.4110244443446687,1.0991539816168228
120,0.1448969053973891,2.16635492499297,2.1781195550854964,0.4591490732470101,-0.460805350141619
126,0.0559988040183145,2.5415964354595646,2.183711702894008,1.0495713753692826,0.1991184558783311
73,-0.2106955001189089,-0.7605288566464635,-1.316972825234547,-0.653966289357574,-0.4474218622342327
33,-0.5218388549456695,-0.7605288566464635,-0.5340721320428578,-0.9808334990113008,0.5841560754095114
11,-0.8774312604619674,-0.6854805545531446,-0.3159783675108874,-0.5140906816228706,0.596102735302717
116,0.4115912095346126,2.0162583208063345,1.697194843553458,1.588460558852454,-1.2384764047171648
79,-0.6551860070142812,-0.5353839503665068,0.0642876834679336,-1.0780102370164628,-0.8609135196867346
122,0.322693108155538,2.241403227086289,2.200488146319545,0.9892040078206212,-0.4776921153420251
78,-0.788533159082893,-0.5353839503665068,0.6402789077446767,-1.0794826118347225,-1.036222681552103
106,1.9228589329788783,1.415871904059783,1.3728502706597578,1.38968995838735,-2.0608990014872695
24,-0.6107369563247441,-0.7605288566464635,-0.9422989220642386,-1.3872089488510693,0.563087979246485
112,0.5449383616032242,1.5659685082464208,1.803445651915187,1.142330988919665,-1.0219431941527168
23,-0.9218803111515048,-0.8355771587397824,-0.8975617395961419,-1.2502780907528863,0.6505084702218025
96,2.1006551357370276,0.2150990705666803,0.1369856049785912,0.7418450383529358,-1.0131850009202017
82,-0.6996350577038185,-0.6104322524598257,0.2320521177232958,-1.2061068462050857,-0.6938378666666851
91,1.1227760205672082,-0.0100458357132764,-0.70183656629822,0.509209817067851,0.1549723187459251
100,2.5895946933219367,0.7404371852199128,1.266599462298029,2.4954434469006337,-2.374071004106786
16,-1.2330236659782654,-0.5353839503665068,-0.6403229404045865,-0.1975300956969641,0.6576926102927172
52,0.0115497533287772,-0.6104322524598257,-0.4166370280641048,-0.0031766196866397,1.1306350448489328
19,-1.1441255645991908,-0.1601424398999142,-0.9478910698727512,-0.3388780782499273,0.4742952367969478
121,0.1893459560869263,2.16635492499297,1.976802233979062,0.6623367981668944,-0.4152546732650128
65,-0.5218388549456695,-0.3852873461798689,-0.0419631248937951,-0.231394716516945,0.7339736481243627
75,-1.0996765139096538,-0.8355771587397824,-0.1482139332555252,-1.5211950573127324,-1.6305205788343615
55,-0.0328992973607598,-0.3852873461798689,-0.4837428017662497,-0.0694334865083411,1.056856347940868
111,0.9449798178090596,1.5659685082464208,1.54061470491512,1.215949729832666,-1.1665623554005355
34,-0.4773898042561323,-0.9856737629264204,-0.6682836794471475,-1.063286488833863,0.628633167309231
